YEAR_MONTH,COUNTRY,CHANNELTITLE,TITLE,VIEW_COUNT,CATEGORY_TITLE,LIKES_RATIO
2020-01-08,BR,Big Hit Labels,BTS (방탄소년단) 'Dynamite' Official MV,1449669362,Music,7.48
2020-01-08,CA,Big Hit Labels,BTS (방탄소년단) 'Dynamite' Official MV,1388693969,Music,7.72
2020-01-08,DE,Big Hit Labels,BTS (방탄소년단) 'Dynamite' Official MV,1155924845,Music,7.91
2020-01-08,FR,Big Hit Labels,BTS (방탄소년단) 'Dynamite' Official MV,1388693969,Music,7.72
2020-01-08,GB,Big Hit Labels,BTS (방탄소년단) 'Dynamite' Official MV,936814354,Music,8.11
2020-01-08,IN,Big Hit Labels,BTS (방탄소년단) 'Dynamite' Official MV,1887077945,Music,7.38
2020-01-08,JP,Big Hit Labels,BTS (방탄소년단) 'Dynamite' Official MV,1948824175,Music,7.21
2020-01-08,KR,Big Hit Labels,BTS (방탄소년단) 'Dynamite' Official MV,2149517140,Music,7.23
2020-01-08,MX,Big Hit Labels,BTS (방탄소년단) 'Dynamite' Official MV,1760822595,Music,7.35
2020-01-08,RU,Big Hit Labels,BTS (방탄소년단) 'Dynamite' Official MV,527659840,Music,8.67
2020-01-08,US,Big Hit Labels,BTS (방탄소년단) 'Dynamite' Official MV,1388564083,Music,7.72
2020-01-09,BR,BLACKPINK,BLACKPINK - 'Ice Cream (with Selena Gomez)' M/V,472051817,Music,7.15
2020-01-09,CA,BLACKPINK,BLACKPINK - 'Ice Cream (with Selena Gomez)' M/V,833297178,Music,6.86
2020-01-09,DE,BLACKPINK,BLACKPINK - 'Ice Cream (with Selena Gomez)' M/V,472051817,Music,7.15
2020-01-09,FR,BLACKPINK,BLACKPINK - 'Ice Cream (with Selena Gomez)' M/V,472051817,Music,7.15
2020-01-09,GB,BLACKPINK,BLACKPINK - 'Ice Cream (with Selena Gomez)' M/V,648518249,Music,7.00
2020-01-09,IN,BLACKPINK,BLACKPINK - 'Ice Cream (with Selena Gomez)' M/V,833296497,Music,6.86
2020-01-09,JP,BLACKPINK,BLACKPINK - 'Ice Cream (with Selena Gomez)' M/V,833297178,Music,6.86
2020-01-09,KR,BLACKPINK,BLACKPINK - 'Ice Cream (with Selena Gomez)' M/V,833297178,Music,6.86
2020-01-09,MX,BLACKPINK,BLACKPINK - 'Ice Cream (with Selena Gomez)' M/V,833297178,Music,6.86
2020-01-09,RU,Tekashi 6ix9ine,6IX9INE- TUTU (Official Music Video),103912712,Music,4.78
2020-01-09,US,BLACKPINK,BLACKPINK - 'Ice Cream (with Selena Gomez)' M/V,833296497,Music,6.86
2020-01-10,BR,BLACKPINK,BLACKPINK – ‘Lovesick Girls’ M/V,717889532,Music,7.69
